value_id,label,feature,unimorph,language_id
excl,exclusive,clusivity,EXCL,komnungthangtampak
incl,inclusive,clusivity,INCL,komnungthangtampak
pl,plural,number,PL,komnungthangtampak
sg,singular,number,SG,komnungthangtampak
1,first person,person,1,komnungthangtampak
2,second person,person,2,komnungthangtampak
3,third person,person,3,komnungthangtampak
aff,affirmative,polarity,POS,komnungthangtampak
neg,negative,polarity,NEG,komnungthangtampak
fut,future,tense_aspect,FUT,komnungthangtampak
nfut,non-future,tense_aspect,,komnungthangtampak
