form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak008,no_stem,3.pl,inni,inni,in+ni,i n n i,i n + n i,unspecified,,Kanshouwa2026Nungthangtampak,nopage,komnungthangtampak
komnungthangtampak009,se,1.sg.fut.aff,ka-se-ang,ka-Σ-ang,ka+Σ+ang,k a Σ a ŋ,k a + Σ + a ŋ,formal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak010,se,1.sg.fut.aff,ka-seng,ka-Σng,ka+Σ+ng,k a Σ ŋ,k a + Σ + ŋ,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak011,se,1.pl.excl.fut.aff,ka-se-ang-ung,ka-Σ-ang-ung,ka+Σ+ang+ung,k a Σ a ŋ u ŋ,k a + Σ + a ŋ + u ŋ,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak012,se,1.pl.excl.fut.aff,ka-se-ung,ka-Σ-ung,ka+Σ+ung,k a Σ u ŋ,k a + Σ + u ŋ,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak013,se,1.pl.incl.fut.aff,ka-se-ang-mi,ka-Σ-ang-mi,ka+Σ+ang+mi,k a Σ a ŋ m i,k a + Σ + a ŋ + m i,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak014,se,1.pl.incl.fut.aff,ka-seng-mi,ka-Σng-mi,Ka+Σ+ng+mi,⁇ a Σ ŋ m i,⁇ a + Σ + ŋ + m i,dialect_var,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
