morph_id,morph,position,in_cells,in_forms,language_id
komnungthangtampakM01,a,free,3.sg; 3.pl,komnungthangtampak006; komnungthangtampak007,komnungthangtampak
komnungthangtampakM02,a,pre,3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff,komnungthangtampak062; komnungthangtampak063; komnungthangtampak064; komnungthangtampak065; komnungthangtampak066; komnungthangtampak067; komnungthangtampak068; komnungthangtampak069; komnungthangtampak070; komnungthangtampak071; komnungthangtampak073; komnungthangtampak074; komnungthangtampak075; komnungthangtampak076; komnungthangtampak077; komnungthangtampak078; komnungthangtampak081; komnungthangtampak082; komnungthangtampak083; komnungthangtampak084; komnungthangtampak085; komnungthangtampak086; komnungthangtampak087; komnungthangtampak088; komnungthangtampak089; komnungthangtampak090; komnungthangtampak091; komnungthangtampak092; komnungthangtampak093; komnungthangtampak211; komnungthangtampak212; komnungthangtampak213; komnungthangtampak214; komnungthangtampak215; komnungthangtampak216; komnungthangtampak217; komnungthangtampak219; komnungthangtampak221; komnungthangtampak222; komnungthangtampak223; komnungthangtampak225; komnungthangtampak226; komnungthangtampak227; komnungthangtampak228; komnungthangtampak229; komnungthangtampak230; komnungthangtampak231; komnungthangtampak232; komnungthangtampak233; komnungthangtampak234; komnungthangtampak236; komnungthangtampak237; komnungthangtampak238; komnungthangtampak239; komnungthangtampak240,komnungthangtampak
komnungthangtampakM03,a n,pre,3.pl.2.pl.nfut.aff,komnungthangtampak235,komnungthangtampak
komnungthangtampakM04,a ŋ,post,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.fut.neg; 1.sg.fut.neg; 1.pl.excl.fut.neg; 1.pl.incl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.nfut.aff; 1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komnungthangtampak009; komnungthangtampak011; komnungthangtampak013; komnungthangtampak015; komnungthangtampak016; komnungthangtampak017; komnungthangtampak019; komnungthangtampak022; komnungthangtampak024; komnungthangtampak025; komnungthangtampak027; komnungthangtampak029; komnungthangtampak031; komnungthangtampak032; komnungthangtampak034; komnungthangtampak039; komnungthangtampak042; komnungthangtampak045; komnungthangtampak049; komnungthangtampak050; komnungthangtampak051; komnungthangtampak053; komnungthangtampak055; komnungthangtampak057; komnungthangtampak058; komnungthangtampak060; komnungthangtampak061; komnungthangtampak062; komnungthangtampak064; komnungthangtampak066; komnungthangtampak068; komnungthangtampak069; komnungthangtampak071; komnungthangtampak072; komnungthangtampak074; komnungthangtampak076; komnungthangtampak078; komnungthangtampak081; komnungthangtampak083; komnungthangtampak084; komnungthangtampak086; komnungthangtampak088; komnungthangtampak089; komnungthangtampak090; komnungthangtampak092; komnungthangtampak094; komnungthangtampak095; komnungthangtampak096; komnungthangtampak098; komnungthangtampak100; komnungthangtampak102; komnungthangtampak103; komnungthangtampak106; komnungthangtampak108; komnungthangtampak111; komnungthangtampak113; komnungthangtampak115; komnungthangtampak117; komnungthangtampak118; komnungthangtampak119; komnungthangtampak121; komnungthangtampak126; komnungthangtampak128; komnungthangtampak130; komnungthangtampak132; komnungthangtampak134; komnungthangtampak136; komnungthangtampak138; komnungthangtampak140; komnungthangtampak141; komnungthangtampak144; komnungthangtampak145; komnungthangtampak147; komnungthangtampak149; komnungthangtampak152; komnungthangtampak153; komnungthangtampak154; komnungthangtampak156; komnungthangtampak158; komnungthangtampak160; komnungthangtampak161; komnungthangtampak162; komnungthangtampak164; komnungthangtampak166; komnungthangtampak168; komnungthangtampak169; komnungthangtampak172; komnungthangtampak241; komnungthangtampak245; komnungthangtampak247; komnungthangtampak250; komnungthangtampak255; komnungthangtampak257,komnungthangtampak
komnungthangtampakM05,ai,post,1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,komnungthangtampak027; komnungthangtampak028; komnungthangtampak032; komnungthangtampak033; komnungthangtampak034; komnungthangtampak035; komnungthangtampak036; komnungthangtampak055; komnungthangtampak056; komnungthangtampak058; komnungthangtampak059; komnungthangtampak061; komnungthangtampak079; komnungthangtampak088; komnungthangtampak092; komnungthangtampak093; komnungthangtampak106; komnungthangtampak107; komnungthangtampak119; komnungthangtampak120; komnungthangtampak121; komnungthangtampak122; komnungthangtampak123; komnungthangtampak136; komnungthangtampak137; komnungthangtampak140; komnungthangtampak141; komnungthangtampak142; komnungthangtampak144; komnungthangtampak151; komnungthangtampak152; komnungthangtampak153; komnungthangtampak154; komnungthangtampak155; komnungthangtampak159; komnungthangtampak160; komnungthangtampak161; komnungthangtampak162; komnungthangtampak163; komnungthangtampak166; komnungthangtampak167; komnungthangtampak168; komnungthangtampak169; komnungthangtampak170; komnungthangtampak187; komnungthangtampak190; komnungthangtampak193; komnungthangtampak206; komnungthangtampak208; komnungthangtampak210; komnungthangtampak237; komnungthangtampak239; komnungthangtampak257; komnungthangtampak258; komnungthangtampak264; komnungthangtampak265; komnungthangtampak266; komnungthangtampak267; komnungthangtampak278; komnungthangtampak281; komnungthangtampak282; komnungthangtampak284; komnungthangtampak288; komnungthangtampak289; komnungthangtampak290; komnungthangtampak291; komnungthangtampak295; komnungthangtampak296; komnungthangtampak298; komnungthangtampak299; komnungthangtampak300,komnungthangtampak
komnungthangtampakM06,e ŋ,post,2.sg.1.sg.fut.aff; 2.sg.1.sg.nfut.aff; 2.pl.1.sg.nfut.aff,komnungthangtampak041; komnungthangtampak197; komnungthangtampak201,komnungthangtampak
komnungthangtampakM07,ei,free,1.pl.incl,komnungthangtampak003,komnungthangtampak
komnungthangtampakM08,i,pre,3.pl.1.pl.excl.fut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff,komnungthangtampak072; komnungthangtampak218; komnungthangtampak220; komnungthangtampak224,komnungthangtampak
komnungthangtampakM09,i n,free,3.pl,komnungthangtampak008,komnungthangtampak
komnungthangtampakM10,i ŋ,post,1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.sg.3.sg.fut.neg; 2.pl.1.sg.fut.neg; 1.sg.nfut.aff; 1.sg.2.sg.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komnungthangtampak101; komnungthangtampak105; komnungthangtampak107; komnungthangtampak110; komnungthangtampak114; komnungthangtampak131; komnungthangtampak171; komnungthangtampak246; komnungthangtampak256; komnungthangtampak258,komnungthangtampak
